,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,
Zip Code,Total Sales,Total Stations,Total Sales,Total Stations,Total Sales,Total Stations,Total Sales,Total Stations,Total Sales,Total Stations,Total Sales,Total Stations,Total Sales,Total Stations,Total Sales,Total Stations,Total Sales,Total Stations,Total Sales,Total Stations,Total Sales,Total Stations
94550,19577999,9,20192541,10,21866674,12,21557553,11,21478755,10,20216331,8,16426698,5,34371114,16,35168327,16,34713241,16,39307912,18
95112,28887614,18,27472754,17,28805909,18,28423244,17,27138521,16,27293768,11,27568515,15,33764812,19,36042961,18,34973617,18,36481760,18
95340,20027013,18,22786506,17,21428570,19,21175076,16,21555190,16,12411291,12,21181190,16,26475258,19,25410324,16,23903291,18,31875274,18
95821,15755352,18,18781036,17,19863640,16,20349977,18,20262330,18,7550046,12,20889745,17,20117630,20,21453559,19,19689956,18,21323439,18
95901,17090866,16,15677837,12,18188400,15,14789874,16,15190968,16,6552623,11,15616923,15,20203678,18,19500642,16,27563491,18,15277387,18
95926,19689283,19,18707070,17,18474337,17,18474170,17,18509961,16,13812854,12,18581642,16,18971174,19,19801901,18,17217915,17,20413052,18
91910,39092168,16,40978438,15,44535918,18,41046791,18,40173393,17,33728384,14,44591939,16,47422524,19,48290338,18,50972187,19,47510598,17
92376,23489880,12,19801588,12,19961487,11,23230390,14,28595002,14,18704036,11,22891611,13,33618850,15,28818750,16,30110585,18,29712503,17
92392,40747194,12,41681766,13,41806912,14,40009167,13,39635093,13,35644929,14,43879153,15,46269704,16,43823209,15,45375480,16,44730068,17
92553,34724919,16,36659136,16,35958042,17,33782347,16,32098262,15,35868035,16,40188302,18,42931302,18,45411248,18,44764240,18,40715018,17
93030,39347458,17,35414175,17,37940555,19,28401608,15,34601375,18,33925733,16,24094552,20,25116818,18,25208974,19,25755058,17,34608722,17
93065,38574463,15,37725958,14,38567006,15,37689969,14,32682706,12,29366359,10,34265652,13,37946296,16,40089640,17,36739188,15,39700038,17
93304,22315227,21,26638307,20,26181268,19,24241169,18,20383122,17,20706599,15,19949265,15,25881288,18,18456872,17,16987439,17,16408087,17
93726,11753621,14,9816379,11,12844252,14,11858262,12,12233719,12,11242289,11,12374165,11,14840149,14,16235015,15,19350739,18,17226289,17
93727,10351738,15,16503560,14,12520972,11,18502110,18,18629314,12,12564095,11,13450476,13,24425880,15,25884141,16,28131018,19,25070822,17
93901,23546690,17,19885571,16,27383331,18,27777465,17,30393774,18,16926233,8,29532396,20,33856870,22,30266231,21,30175432,17,24814205,17
95020,33377362,14,31088961,12,33826971,13,33173664,12,25678170,12,21970510,9,26906024,11,32674020,15,34491268,17,33941361,16,36695427,17
95351,17531177,13,23345426,12,19070573,15,19384099,14,13536664,13,13782756,12,21499103,15,22488371,16,23987645,19,25012616,19,21861734,17
95501,15004675,14,13203959,12,15291453,15,15623864,16,14040969,13,11915540,9,15428796,13,16577877,15,17014209,15,17353332,15,15806429,17
95624,25267432,16,24137984,16,19419492,16,18511336,12,14661620,11,9708014,8,22171572,13,26511335,16,25339539,16,25903369,16,23972524,17
96001,10734382,13,10469115,14,11832945,15,18625946,15,11376895,12,8373790,9,13927395,13,16112900,17,17970892,18,17137619,19,12622587,17
90045,30789110,15,27219211,14,30331249,14,32612323,16,37467394,12,22903339,9,27610986,12,37252389,16,35280507,17,33862896,17,38910099,16
91767,22658401,14,23079542,14,21218429,12,17288474,12,14453874,12,15203405,13,14175424,10,17195146,14,20180725,15,20736231,17,22235199,16
92020,27285158,15,29309437,16,25463550,16,24789783,16,25349910,16,18436448,13,26304243,16,23619717,16,27332056,17,27524666,17,27966725,16
92225,12824098,15,6960760,13,8304879,18,8047973,18,5750317,15,5817418,16,6834846,14,8521415,18,7254976,16,7196651,17,6053191,16
92231,21209866,17,18472635,15,15135079,16,15246131,18,15147245,15,16833793,13,17844121,14,23211677,17,27568929,18,24476686,17,22814290,16
