,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,
Zip Code,Total Sales,Total Stations,Total Sales,Total Stations,Total Sales,Total Stations,Total Sales,Total Stations,Total Sales,Total Stations,Total Sales,Total Stations,Total Sales,Total Stations,Total Sales,Total Stations,Total Sales,Total Stations,Total Sales,Total Stations,Total Sales,Total Stations
92627,24271182,11,22850877,11,23609790,11,22235182,10,26368219,11,21170296,10,22671206,10,25415000,12,25323733,12,25143887,12,24341056,11
92705,13497169,10,13051783,9,11977371,11,18283953,12,20297866,12,16995885,10,15513998,8,18898881,11,20429904,12,15518806,10,16873653,11
92804,20963508,11,24882723,12,23278901,12,23742644,11,18345517,10,16088210,9,17584827,9,22320930,11,22435487,11,20599060,10,19809905,11
92805,15565956,9,18039752,9,16539100,10,18759612,9,14378314,7,14754637,7,16375324,8,17021163,10,19202541,10,20349564,10,19883396,11
92843,29038582,10,21636328,9,31939817,11,29664957,14,22258630,11,23027326,10,38902301,12,42653914,15,43343948,14,38618992,12,37278731,11
93001,12807822,10,10699636,9,11334735,10,10773741,10,8499110,9,9026598,7,9591381,8,13944318,11,11912817,10,12553131,11,13392202,11
93436,12449431,11,12505204,9,9888337,9,13601826,9,12343367,9,12453494,9,15030893,10,16974239,12,13762809,11,17861527,12,15958658,11
93555,7997731,10,8473399,10,6727045,7,8092602,10,7839356,9,7919577,8,8275962,8,9665204,12,8778366,10,9883721,11,9597258,11
93706,9147670,10,6612020,9,4228358,6,6992519,10,6667864,10,6566517,6,9177365,8,10403230,10,9734915,9,7122374,8,9497935,11
94015,24123019,11,19378900,11,20189809,11,27259973,12,23527377,10,12982852,7,25776770,11,20954881,10,23673339,11,19317245,10,22351192,11
94066,11390883,11,11880413,9,16206701,11,17615227,12,14397064,10,9013537,7,14906609,9,20110433,12,24112130,12,20938032,12,18251666,11
94087,11289345,9,11098184,8,11942061,8,12061898,7,9789093,7,10144275,7,11519179,7,16167552,11,14588585,10,15120518,11,20116068,11
94501,16582690,10,14954497,8,17855490,9,17561497,10,17532247,8,12128703,5,15127824,6,22329483,10,20310156,9,20909022,11,22275951,11
94513,18775124,15,24028705,15,23304414,16,20919242,14,21669822,14,13866653,8,17815025,11,30110255,14,26057156,12,26989936,13,24555842,11
94551,21906972,11,16976195,9,23393226,13,25914249,14,27514037,16,20332994,13,24834484,15,20231946,14,20471688,14,19629220,13,15942001,11
94561,11825931,9,12449150,10,10495417,10,8920595,9,8159052,8,12282747,10,10959750,8,13787251,8,16010839,11,14248751,9,16871173,11
94583,21023851,12,20415525,12,19996352,12,21793984,13,17342896,11,13009950,9,18560751,10,20571558,13,19635989,13,16873520,10,16598415,11
95014,20526815,16,18090069,15,17940116,11,16766964,11,16887354,12,16737511,10,12701277,7,16889694,10,15474378,10,16695573,9,16801108,11
95060,15153428,6,14139389,8,16490105,7,16270302,6,20307152,7,9289365,4,16390708,8,17665007,9,17798527,9,18443247,10,20978138,11
95124,14453059,12,14561680,12,13871685,12,13908966,11,12402526,10,9964538,9,16872555,12,18230517,12,18406375,12,19773189,13,11906751,11
95301,6393816,7,6869084,7,7640365,8,7016785,8,7143441,8,2132194,4,6887435,8,11280161,10,11478938,11,12238632,12,12238906,11
95337,9160159,6,10573490,6,8357566,6,10198521,7,8202359,6,10186938,7,8359412,6,10297910,7,11308576,8,13193742,8,14855964,11
95354,3899448,10,3750517,8,5169250,9,4658020,10,5544514,9,3139298,8,4788184,7,8435874,12,7193817,11,7101784,12,5184735,11
95370,11296554,11,8006303,9,7608801,9,9721427,11,6427885,10,9223849,8,12359919,12,12730451,12,13692156,13,13818158,10,12676730,11
95401,16787263,11,17124199,12,13759181,10,18400973,11,14977591,10,9110706,6,13271126,8,12620585,9,15083376,11,13194301,9,14040562,11
95407,24380915,10,22742104,10,23971139,11,25931625,10,27759054,11,18710102,5,27444196,10,27966201,11,28178231,11,25658734,9,28821274,11
95833,12085836,10,10856293,9,11766149,10,9331850,9,8897255,7,4760065,4,14097420,11,14654109,10,14138278,8,16291482,10,19717518,11
96021,10556308,12,8979836,11,9696636,12,8141394,10,8400730,11,5743555,8,9718061,12,9550432,12,9981151,12,9972494,11,10449239,11
90061,12152853,7,15110808,7,14642530,8,15269565,8,14905215,6,10331892,6,15373040,8,16050905,9,17717931,9,17459907,8,17131645,10
90064,15730895,9,12257194,9,16966233,11,17243444,11,12046935,9,13650067,7,11868057,8,14449770,10,14912776,10,12644457,9,14015421,10
90065,15725243,10,16006277,11,16315627,11,15591862,11,13418760,9,13784528,9,14395672,11,17965882,11,17194736,10,18081085,10,17466097,10
90248,9623066,6,9452293,6,9913127,7,9697866,7,7178946,5,6301896,4,7416782,7,12767369,9,14127013,9,13611573,10,20220844,10
90630,31316952,10,34471565,11,30350252,10,28049964,9,23225311,6,27612510,8,29185098,10,10713448,8,14002608,8,33065271,10,33592342,10
90638,16296642,10,15240640,11,17420794,11,15771679,9,12358277,8,12466441,8,13332653,8,14811304,10,15806920,11,14856226,11,12549652,10
90723,14293475,9,21010892,11,18541811,10,18877397,9,12954695,9,18359087,10,20769134,12,21384822,12,20695715,12,19041697,11,18737732,10
91301,19883440,10,19434271,10,19146846,10,17373734,9,19767008,10,18592362,9,17903187,9,19153522,9,19781926,10,16701804,10,18097200,10
91325,23580033,11,16230360,8,15756214,9,22114282,10,12752901,7,20049582,11,15174473,9,17470404,10,18079457,10,15256638,10,15038124,10
91342,14724373,9,11136811,8,11677057,10,14904416,10,15971508,9,14761067,9,13258383,8,14080189,11,24725084,10,23946755,11,23687511,10
91364,23971818,13,14502699,9,21413546,11,21980468,11,23222890,12,24639807,10,29411211,11,27866650,14,28850301,12,27643163,12,23263419,10
91604,12212247,8,14442755,10,16036192,10,14218856,10,11866251,7,13340303,7,14036168,7,14761428,9,16472462,10,10066993,8,14128013,10
91709,37327945,11,32430727,9,28696335,10,35066814,10,38068324,11,38190452,11,32948593,9,36040823,10,38943171,11,34054668,9,33333941,10
91745,22492811,12,21279241,11,21613599,11,21783635,11,17672586,9,18650943,8,17115321,8,21912607,10,19663907,9,18848034,10,17858278,10
91765,24384092,11,24749698,10,23048676,10,23402657,10,12248600,7,15632055,8,12523896,7,22136796,9,21751550,10,17241078,9,17347034,10
91768,15676505,10,13631302,9,12551981,8,11789126,8,7361289,5,8774099,6,10216788,8,11454956,9,12913003,10,12781948,10,12038776,10
91789,14081772,8,11398890,9,17989453,9,12989382,8,9967565,5,8526383,5,17277220,8,18638208,9,21237049,10,19794574,10,18762575,10
91942,14239819,9,15208264,9,16792573,10,15301514,10,15094039,9,11026678,7,12966395,8,15767299,10,15532717,10,16052418,10,15583262,10
92040,8749822,11,11896653,12,11915848,12,11152978,11,11920996,11,8440185,10,11099501,10,13790260,12,11305743,10,10603788,10,10846564,10
92220,11092592,7,11196325,7,10189842,7,9122763,8,9598850,9,9659556,9,9427089,9,11463916,9,11755791,10,9180357,9,10789788,10
92284,13763627,13,9388222,10,8443370,10,11159801,10,7363924,8,9518292,9,12386624,8,13906529,12,14565571,12,15674995,12,14309440,10
92373,17633813,8,17376541,8,12652873,8,13599081,9,12505837,8,10919419,8,13896706,9,14331335,9,15751532,9,15743258,9,18607481,10
92404,10009044,9,8382393,7,9367670,10,9243597,9,9469842,9,8673642,8,8318581,7,11244977,10,11393049,10,10911619,10,11267884,10
92570,6976236,5,7861752,5,7750599,5,8039827,5,8884608,6,11508601,7,9642453,8,9866804,5,12188373,7,15889835,10,17396569,10
92591,32089496,11,33693975,10,31379727,9,34701745,10,32339101,9,27673566,7,14080175,6,31476958,8,36922817,10,36069556,10,40038087,10
92677,38115918,11,38620515,10,38778006,10,37821836,10,33492885,9,33827696,8,42178508,10,38365250,10,37941193,10,39168714,10,40236757,10
92860,22387919,10,22392251,10,20594066,10,15684710,9,19403728,10,19829707,10,20420056,10,18217980,9,16904813,9,18091675,9,19697118,10
93036,17319837,8,17205406,8,17343569,8,14860880,7,16607936,8,11818010,6,32228701,9,29774259,8,36502682,12,39705071,12,24259933,10
93063,17236376,10,17843666,10,17208418,10,19519737,13,15041271,10,20260490,9,14287478,9,20439510,10,17399878,10,16968177,10,16915033,10
93105,14521478,10,13579918,10,13531784,10,11841123,10,11972443,9,11034884,8,14904433,10,16289421,10,14594704,10,15015697,10,13508286,10
93420,12951178,10,11923951,9,10993553,9,8200405,8,9130478,7,7631900,6,11033238,9,12578014,10,11639849,9,11485069,10,11449826,10
93535,9962106,7,8630076,6,10630944,7,10005035,10,7393502,6,7458362,7,12333157,12,13363214,11,13761907,11,13846573,11,13947588,10
93551,21625367,10,21988844,10,21410039,10,20843579,9,23140513,11,14649544,9,26677529,10,24712988,9,25246534,10,26228760,9,23910121,10
93611,6860677,6,3915743,4,5018842,5,5974843,6,6357996,6,4315177,4,17628880,9,18305269,10,21078805,10,18692531,9,19324342,10
93635,12847778,9,12503716,9,12366958,8,9737513,6,8743322,7,13402837,8,15297073,8,17539045,9,18766377,10,28037617,10,16284363,10
93905,16521652,8,16523317,8,18282368,9,16272155,9,15525656,8,11123944,7,18930511,8,21160776,10,16700950,9,16231198,10,17050750,10
94061,10820445,7,9661362,5,13814143,7,10066551,7,16690244,8,,,8915786,6,11353183,8,8593858,7,11757087,9,13009190,10
94539,15106593,10,15129950,8,17158652,10,17886105,10,12398772,7,8920818,5,12681678,7,16202036,9,14586474,8,15043206,10,14283289,10
94545,7035847,7,16197503,7,18148397,7,18574886,7,18586273,6,19068589,5,23778212,9,25866051,10,26419364,10,26851803,10,27418447,10
94546,22201505,12,22282194,11,20898761,10,26248110,11,22458895,9,17074307,8,23374516,11,29373754,13,27047976,13,25528011,12,20940152,10
94591,24358637,10,21607991,9,24412622,10,22696463,9,22435317,10,,,19832479,7,24322395,11,25578669,11,23616665,9,25301098,10
94952,16257192,12,13523579,9,15984270,11,14727534,10,12327082,8,9766990,7,10869891,7,10624036,8,12564952,9,9777925,9,13047293,10
95050,23511321,9,21688828,9,23246312,10,21848641,10,17989914,7,18807534,7,21402514,8,22329999,10,21134971,9,10407121,9,26257203,10
95361,14368352,11,20760686,12,16501463,11,13278553,10,11557109,8,6876777,6,9208798,8,12263007,11,13075103,12,11692674,9,12724013,10
95677,14366570,10,14060261,10,14673973,10,14765641,9,11670637,9,12623205,7,23235448,13,25885699,15,25727982,14,25946959,15,18339271,10
95928,13905860,10,15517670,11,17407639,12,18937495,12,18617391,13,18959594,12,16344590,11,20898808,13,21003490,12,21724382,12,20233857,10
90004,16970096,7,15444030,7,16470262,8,17196876,9,11245438,7,14333935,7,14206995,7,18539516,10,14578531,9,14009688,9,12093863,9
90022,18557768,8,20708103,8,13862025,7,14456174,7,16155430,7,13512647,6,17312245,7,15034329,8,23796963,9,20744992,9,21944459,9
90023,15175271,9,17221233,9,16939426,8,18214075,7,9379490,5,13702161,5,17304762,9,16449526,8,15395344,7,16525338,8,16678269,9
90026,17310674,8,17027095,9,12674893,7,14969600,8,20015818,7,16831959,9,15377317,8,14355518,9,14840354,7,15106019,7,16026573,9
90033,15363967,7,13952765,7,12906697,6,13370590,7,10293859,6,12002511,6,15679958,9,15651414,8,14685129,9,15210648,8,15290216,9
90232,21388350,7,22175520,8,25866109,9,25208797,8,26245953,8,28517535,9,15159495,7,18485531,8,17754720,8,17523932,8,19740569,9
90241,17202589,7,17631323,8,18149709,10,14818684,6,14491366,6,13775765,6,15968651,8,16387931,9,16674248,9,18109527,10,16380790,9
90505,36692960,13,36416183,13,39201182,14,39138773,13,36002598,13,34233126,12,35476630,12,44310124,14,38286321,13,37851734,12,36103425,9
90605,14263632,9,13908395,8,13254363,8,18210178,8,17392572,7,,,15644518,6,19776988,8,20119287,8,19840390,9,20058536,9
90660,17360341,8,22344521,10,18095049,9,18214586,9,14932242,7,16525768,8,18882235,9,21023041,10,19590478,10,18645200,10,15702535,9
90731,15600346,8,14082234,7,14418566,9,12300220,8,15281857,9,12860320,8,14532255,8,14152663,8,16981680,8,18544715,9,19621494,9
90745,15412190,9,15163011,9,18074352,11,19837213,11,17955930,10,19591898,10,18314386,9,13853165,10,18536918,9,21026108,11,17916672,9
90815,18486431,8,18751620,8,14995322,6,19716508,7,18902977,7,17179838,6,16577557,7,21732693,9,18966043,8,15474925,7,20833937,9
91311,21851187,9,21963789,9,23541434,8,19922830,8,17249314,8,19990015,8,15375240,7,18192999,9,16643085,10,19658952,10,21069212,9
91321,22888813,9,19458588,8,22434352,8,18873715,9,18577759,8,16806358,8,18565573,9,18156817,8,20270345,10,17306355,9,17021899,9
91340,16426601,6,12566421,8,12744010,8,18653678,8,9182478,7,10178344,7,7207485,6,14046013,9,12659316,9,10195230,8,11307692,9
91355,26945956,9,20411273,7,21477455,8,24883937,9,20463785,7,18067875,7,21390306,8,22844670,8,23413520,8,25143423,8,24100606,9
91360,16902349,10,15243999,9,16337593,9,15047224,8,14115546,8,12116482,6,13603393,8,17940131,9,18556364,9,18181915,9,18390387,9
91406,27974902,13,27545642,14,23160984,11,23894630,12,22357150,11,23054455,10,18335339,11,23442855,12,24106359,11,23070622,11,14216049,9
91731,16282858,9,19780361,9,22271246,10,21686684,8,23192022,9,10791096,8,22084950,8,21694018,10,21284715,9,23514479,9,21247575,9
91770,10498506,7,14809573,8,14618607,8,12961531,7,13544554,8,12174990,6,13382214,7,14489718,8,14787776,8,12260730,6,15550875,9
91790,13664482,9,12511917,8,12134577,10,12449424,11,10164103,8,15217404,10,13227751,9,12800012,9,12495418,9,10677951,9,11708790,9
92065,10383127,9,11372720,10,11606303,10,11382903,10,7383354,7,7520946,7,7072148,7,11114839,10,8900355,8,9355334,9,9580498,9
92069,15174485,7,15116370,7,19104939,8,25571822,8,22832294,7,22831027,7,24032539,7,22191303,7,27328804,7,28840268,7,32232091,9
92101,14096181,8,13671020,8,13725868,8,13468903,7,13584124,7,11043998,6,12152693,7,12771328,9,12750373,8,12039870,8,11992705,9
92117,25140992,9,24490928,8,24117300,8,21369802,8,24295475,9,21654173,7,25143159,8,24928523,8,23735300,7,30434534,9,32448404,9
92173,10118921,8,7061232,6,10320416,8,10296464,8,8561874,8,9206354,6,11169682,7,13666152,8,14923925,8,16345007,9,15708986,9
92262,10499504,8,10796440,8,10060032,8,8959919,9,4242544,8,8671368,8,8268322,7,7076635,10,12051181,11,11455531,10,11556967,9
92336,30332673,8,38608445,8,30827334,8,31098788,8,36676494,11,35363255,9,33623836,10,37864774,10,34315245,8,36663872,9,36940182,9
92407,11947854,10,11083748,9,12738629,10,14632422,10,11596244,10,11337249,9,12828969,10,13263842,9,16429603,11,13883626,9,14963821,9
92545,15225406,8,17151803,7,12559350,6,10930075,7,10475531,6,8675480,5,10785837,6,8134884,6,11641309,7,14503936,9,19708250,9
92592,13403761,6,17299660,6,20486573,7,20327749,7,21722818,7,16878567,6,18106551,7,22916239,7,19498396,6,19770410,7,21471199,9
92656,15507707,8,16686635,8,16647628,9,15018818,8,14937710,8,13267247,7,12987904,7,16358478,9,16051251,9,15817169,9,14609563,9
92672,22874137,10,19924182,10,18588159,9,19150659,10,19629387,10,20695624,11,13924476,7,18981419,12,20115395,11,18672907,10,17361697,9
92704,20683166,8,23669855,10,21083898,9,22627749,10,18465818,8,21240407,9,23345114,10,22001731,10,21924618,9,20463331,9,19496056,9
92707,7838594,6,7112477,6,5881894,6,6579593,6,5931405,6,7145893,6,7048420,5,7333555,6,8581500,8,8388298,7,11762446,9
92880,15805791,7,17060753,7,16309681,7,16843417,8,16016512,6,20254122,7,21471940,7,26645114,9,27150112,9,26816887,11,18757532,9
93033,12655094,7,12538139,7,13478096,7,12899441,7,11068662,6,11014639,7,9599220,5,14293240,6,14749174,7,16457565,8,19539044,9
93101,11072079,10,10025957,8,10928058,9,10727125,9,10720868,9,10102269,8,9789862,8,11323550,9,10297552,9,10497934,9,10213145,9
93243,19300916,12,13331667,9,19743702,10,20302806,12,24910148,11,13976261,6,18828640,9,19734575,9,17747952,9,16169238,9,18677972,9
93301,7641975,6,8859431,7,6147785,6,6643976,6,10006938,8,5717368,5,7647421,7,8005750,8,6968458,9,8194481,9,8058131,9
93305,4152678,6,5832462,8,6716807,6,6341691,7,7840800,7,6486725,6,6827370,6,10496721,7,9553759,8,7526205,6,9495712,9
93401,13549025,11,10034346,7,13036107,10,8518949,7,10026661,9,11754901,9,12152693,10,12026195,9,14366324,8,14624220,9,14460455,9
93622,9592752,8,9862501,7,12049638,9,11311936,7,11563071,8,6139968,5,5502967,5,8894682,6,7392766,7,8330834,8,8556855,9
93703,9555560,10,9536708,10,9107631,12,9027739,10,10367337,12,7204869,10,7530230,10,8519139,11,8272521,10,8120908,11,7536509,9
93728,4414556,6,6248570,7,4047743,7,2868837,7,1648791,4,2448499,5,,,3552350,6,5028397,9,4758286,8,5274843,9
93930,5732108,8,5170601,8,4776069,8,4495307,7,4677882,6,4259573,6,5776428,7,5975317,8,9820126,8,9969357,9,9800908,9
94010,10026854,10,7819461,10,8772718,9,9524432,10,9649787,9,5578561,5,8771325,8,9603934,9,8012057,8,7172910,8,10093750,9
94025,20798220,14,17696907,14,18857559,13,18110943,13,18091898,12,10765286,6,11246657,6,16369436,10,16070181,10,12644053,8,13695967,9
94040,10830438,7,6164361,6,11602678,7,11910933,7,14338318,8,8229145,4,13411514,7,13481075,8,11572077,8,8680247,6,12269496,9
94043,11809659,7,9911801,8,12964920,7,15275531,8,14551072,8,8144640,5,13809150,8,15657556,9,15574382,9,10768952,7,14178200,9
94044,11854551,9,6174074,8,10607900,8,10799561,8,11617094,8,,,10496544,7,13140561,9,13100409,10,8466148,7,11752594,9
94110,10903434,7,10633095,8,11651645,8,11036939,8,9967133,6,,,7362061,4,9988257,7,9740744,7,11412253,8,12181258,9
94112,18637007,12,16622308,10,15701458,10,13547133,11,16825952,11,12328878,8,18133177,10,16940243,10,17101246,10,15021303,10,13512964,9
94122,13984709,8,8303656,8,9172777,6,13607616,9,12494480,9,8749507,6,11846350,8,10747515,9,11453957,9,6973975,5,11388718,9
94401,12380130,11,9592783,11,12090479,11,12025209,11,9905759,7,,,11391821,9,8403103,8,10672556,9,10937647,8,11504952,9
94403,24593135,12,18488912,8,26068540,10,21995058,8,24376744,9,6116942,5,22926054,7,26496609,8,26963098,8,24366258,8,22203738,9
94510,10214598,8,13709648,11,13896430,12,12464085,10,13238326,10,9672602,10,12437398,10,12128587,10,12430550,10,11572808,9,10759094,9
94560,9925896,8,9734028,7,10847371,8,10798324,8,11149944,7,7938456,5,6988408,4,13609277,9,11714859,8,11362637,8,12919405,9
94587,15936952,10,12255424,9,12820830,9,12742691,8,11534005,8,5710583,4,9173448,7,11541934,8,12512751,9,11899931,8,12995286,9
94596,20072666,12,17987972,11,18735290,10,18289073,12,20519639,12,16783299,10,15365485,9,19615805,10,17449491,10,18971467,10,20219667,9
95023,13204774,10,13841081,9,15469235,11,18533358,12,14903642,9,11627636,8,13913354,8,16686051,10,19387181,12,15960851,11,14061107,9
95051,11017855,11,11417925,9,17548869,11,11067253,9,10032863,8,9001183,8,9166901,8,13855927,11,13818618,11,13909403,11,11073561,9
95062,10151236,8,10047543,8,10471281,9,10569790,9,8727111,6,6924952,6,10227248,8,10954526,9,10045085,9,10225890,9,10826662,9
95116,13269405,9,9075087,7,11141400,9,13910969,9,14116895,8,9356151,6,17553823,8,20222685,11,18539811,12,24672931,12,19876201,9
95128,14880055,11,11647694,8,14789188,10,12360668,10,11739981,10,11380527,9,13585293,10,10948618,11,12901755,11,10283776,10,9747571,9
95207,16949182,10,15874419,10,15628070,9,14304673,8,14318663,9,12443690,7,13357190,9,13969762,9,14282704,9,12758545,9,15180153,9
95215,10237174,9,11354464,9,11400576,9,12418609,10,11702397,9,8201484,7,10248485,9,12930963,11,12895866,10,11327340,10,10705354,9
95338,3391182,7,3560934,7,4184662,8,3346722,7,2247337,5,5283946,8,3986742,8,4383011,8,4389158,8,4083990,8,5121381,9
95437,6468775,12,7569185,12,5876485,12,8353206,12,5328610,10,5374177,8,5116954,7,6314334,10,6259647,8,7162561,10,5288032,9
95476,13375237,10,9988567,10,11724453,10,11376718,8,6213550,4,10751463,7,11893982,8,13832201,11,12798194,9,10385002,7,12105477,9
95521,6182343,9,6397370,9,6438553,9,4543368,7,10919415,9,3397008,5,6150686,9,6570457,9,6119929,7,6492451,9,6021561,9
95540,6454939,12,6370588,12,4996099,10,5758503,10,5601927,10,2969699,5,6023492,9,9057851,10,8056922,10,6780579,9,5006469,9
95608,12750577,10,14730677,10,12521864,9,12249559,9,11793123,10,7597637,7,12920111,9,12941072,10,14197699,10,12395216,10,11954994,9
95621,21890975,9,22276050,9,21664190,9,22053438,9,22732736,9,11905240,5,21396869,8,21140987,8,23394773,9,23617810,9,23809133,9
95628,17727923,7,17864044,7,17517180,8,16204390,7,13600115,6,10607733,5,14808439,7,15120042,8,14265813,8,14074550,9,14315220,9
95661,20655352,12,20746049,10,21454971,10,22119896,13,15030186,9,19919139,10,19747654,10,17709948,10,20261629,11,16563826,10,16926406,9
95758,22314329,8,21336873,8,20342894,8,19592827,8,16907642,6,9309785,4,24380312,9,22148277,8,21784378,8,19681601,8,18491341,9
95776,19161521,10,18769012,9,16875322,9,18502039,8,18581106,8,17038774,7,19975793,7,22252591,12,22470939,11,22923236,10,20359325,9
95828,15366753,12,20527102,12,20575684,11,20887163,11,26256926,10,4672294,5,17369313,9,26062372,12,25328004,13,24143696,11,19197286,9
95961,2521121,4,3102012,5,3417668,6,,,3747599,6,2895272,4,3883879,5,6414665,9,5316810,8,6685807,9,6448928,9
96094,5312257,7,5528743,7,7228177,7,6440981,9,,,3699685,4,7176913,8,7681097,8,8588711,8,10082909,8,8340317,9
96130,4764358,12,5095137,11,4850367,11,4506001,10,3461975,7,4659332,9,5225968,10,4813793,10,3530489,10,3342491,6,3784370,9
90007,10977364,8,10117986,6,12687395,7,14904145,8,16764959,8,12548117,6,12388553,6,19032172,8,19933721,8,19910117,8,18818231,8
90034,18543667,9,13773975,9,16289368,9,16574466,9,14601198,9,11009797,6,12020477,7,13181732,7,14984901,8,12347335,7,16747514,8
90040,15109869,9,21055472,8,21955229,8,23832520,9,27415439,9,21383895,7,22132595,8,20582697,7,22619372,8,21731508,8,21372269,8
90046,15653485,10,14388514,10,13819647,8,16507312,10,16080113,10,15443305,9,12461483,8,12976548,9,14263572,9,14087604,9,14107301,8
90260,13941719,7,15404483,7,12748044,6,13249405,7,19936270,6,13618297,7,11420660,6,12480096,7,13305545,7,12430510,7,14984639,8
90262,14608789,8,15819287,9,15398248,9,14170597,8,11176256,6,10480616,6,12983365,7,13587455,7,15065602,8,15275103,9,16052704,8
90404,24545294,9,19247833,8,17816523,8,16570241,8,16785424,9,16666006,8,13898445,7,14580202,8,16107482,8,15542923,8,14807675,8
90503,10951118,7,11100905,7,12470491,8,14255717,8,12334718,7,11855148,7,12266140,8,11965966,8,13313777,8,12708188,8,10752794,8
90606,14244379,10,13500978,9,12168142,8,11980110,9,6578612,7,10805029,7,10787518,7,11740225,8,13145817,9,12444740,8,10284548,8
90621,15165080,7,14859230,8,15173119,9,14675407,9,11654783,8,13063581,8,12452491,8,11462268,8,11998553,9,9122668,7,11151420,8
90713,15905558,7,14209724,6,13277576,7,15220094,8,20417715,6,13642611,6,14641541,8,14430106,8,14329841,8,13478147,7,13283838,8
90744,9851958,6,10744344,6,13415093,8,15893962,9,9964184,7,5259043,6,4318363,4,9086722,8,9062078,8,8385194,8,8380953,8
90804,14655280,8,11804449,7,9477439,6,18054062,7,9123284,6,12272790,8,10355451,7,10301605,7,11632776,7,9100159,6,11137018,8
90806,13148595,7,13350045,7,13931330,8,11846250,7,12647931,7,13676135,6,10745220,5,12832115,8,13766006,7,11416672,7,11860859,8
90807,15973286,7,14145087,7,12515417,7,14859722,8,13775216,8,13397061,7,13796306,7,15447445,7,11283765,6,15273107,8,13762530,8
90808,17221300,8,18309537,8,17147058,8,15869148,7,15305978,8,10335282,7,16770553,7,16258069,8,17839959,8,17844155,8,17981428,8
90810,10852970,8,10511380,7,9642887,7,9120382,7,9860369,6,10767771,7,11488223,8,9643157,8,11009858,8,9111630,8,9834985,8
91006,15079894,10,13878149,9,16444037,9,15354011,9,8594470,8,14444206,7,12046645,7,13913017,8,12123360,7,12102208,8,12638107,8
91302,10245729,8,11370196,8,10956341,8,10893360,8,10260705,8,9769855,7,8806612,7,7031462,7,9473332,8,8820564,8,8423876,8
91303,20256827,10,18488250,11,20510154,11,11714328,6,12055651,7,17048775,7,14563004,7,8999585,9,12627103,11,12159574,10,10305405,8
91320,13962927,8,13156805,8,14064126,9,13025107,8,12738242,8,13347057,7,12928511,7,13864156,9,14729818,9,17067126,9,13392175,8
91344,22659285,8,20849258,7,22251462,7,22396182,8,19447470,7,19977676,7,20131727,7,19748734,7,18979759,8,17472127,7,17295121,8
91345,16338850,7,17373797,8,16605819,8,12029606,7,12398898,7,12469634,7,10944458,6,14842739,8,14547889,8,14433253,8,13726981,8
91350,17633894,7,13917238,7,16194665,8,15989353,8,15331518,8,12802945,6,15301141,8,14503080,9,16785120,8,16723101,9,14875753,8
91387,14433699,6,19021570,7,20041689,7,22663515,7,23801178,7,21734718,7,26508528,8,25539552,8,28020205,8,27910615,8,26573635,8
91502,19261443,8,18824575,8,19420232,9,17055557,7,19019323,9,18499042,8,17466503,8,13401471,8,15525390,8,17473638,8,17522739,8
91740,15117608,10,15765479,10,16430790,10,15716770,10,14538791,8,10337032,7,15226849,8,16627983,9,15483816,8,16337606,9,19331031,8
91746,14445669,9,18025260,9,18760330,9,19514199,10,16306341,9,13559156,8,12023301,7,12125183,7,13166763,8,12177901,8,10495281,8
91748,24649342,9,23513196,8,24413771,9,26356644,9,26820043,9,25342182,9,24166337,9,24171309,9,26347748,10,25413332,10,22806795,8
91762,12342297,11,12367774,11,11399506,10,10097812,10,11501125,9,11121801,8,9393277,9,15241286,10,10949169,9,10986031,10,10513521,8
91791,10426136,6,11991846,7,9918018,6,11582056,6,7909631,6,9576075,5,11211713,6,18557301,8,18546548,8,18795569,8,18263546,8
92026,22118361,8,20301562,8,19800432,8,17921315,8,17812440,8,15154382,8,16577871,7,19816453,8,19470701,8,18762178,8,18358273,8
92029,8951359,4,7868878,4,7585274,5,7867685,6,9854442,7,8558668,4,11601989,8,15325958,9,13297054,8,12983482,8,12241701,8
92078,13278079,7,13359776,7,12893991,7,12990394,8,11840160,8,8190430,6,13938319,9,16118907,10,15421691,9,15280469,9,12751017,8
92081,8553042,7,8127186,7,7729337,7,7940315,7,5942451,5,6746286,6,19458034,7,7933917,7,7846304,7,21608384,8,22188534,8
92103,7331988,7,6684942,6,6687109,6,8607412,7,6694733,6,6578787,5,10426220,8,11039727,9,8754504,8,6470854,7,8281542,8
92108,25825487,9,23510369,8,26483079,9,24371018,9,21706760,6,22081577,7,25262986,8,28264971,8,28128033,9,27994830,8,28044290,8
92115,8584967,6,7942738,5,9477103,7,12303216,8,9583282,8,10808432,6,12504850,8,12305149,8,13948928,9,14140220,9,13051052,8
92128,17581371,8,23757849,8,20234276,8,23372082,8,15711680,5,25308214,7,35530370,9,35966813,9,35202193,9,37592986,9,36899543,8
92260,14635530,8,14215137,7,15105914,7,16015609,8,16720258,7,4876453,4,13200472,6,16280394,8,16457629,8,16712043,8,16952756,8
92307,11375626,5,8856902,5,11508172,5,13164930,5,9206477,4,7102511,4,11497956,5,14300361,7,14047558,7,14012516,7,13884040,8
92394,,,,,4359868,4,4320975,4,7260778,6,11243654,5,7182800,6,11425744,6,9762346,7,9040688,7,9130471,8
92399,17182395,9,15510152,8,15822872,9,17342563,10,17436523,9,19135878,10,17280094,8,17933189,9,17090780,8,20254789,9,19045757,8
